scenario,subsystem,year,month,demand_mw
superior,NORDESTE,2025,4,13885.922102833878
superior,NORDESTE,2025,5,13497.406169086738
superior,NORDESTE,2025,6,13778.668565117387
superior,NORDESTE,2025,7,13407.946864115253
superior,NORDESTE,2025,8,13760.397972595849
superior,NORDESTE,2025,9,14680.838912390227
superior,NORDESTE,2025,10,14813.372795038938
superior,NORDESTE,2025,11,15529.886577832476
superior,NORDESTE,2025,12,15218.553849395354
superior,NORDESTE,2026,1,14614.402003976884
superior,NORDESTE,2026,2,15443.844175038708
superior,NORDESTE,2026,3,14744.954496822362
superior,NORDESTE,2026,4,14955.138104752088
superior,NORDESTE,2026,5,14536.706444106418
superior,NORDESTE,2026,6,14839.626044631426
superior,NORDESTE,2026,7,14440.358772652127
superior,NORDESTE,2026,8,14819.94861648573
superior,NORDESTE,2026,9,15811.263508644273
superior,NORDESTE,2026,10,15954.002500256933
superior,NORDESTE,2026,11,16725.687844325574
superior,NORDESTE,2026,12,16390.382495798793
superior,NORDESTE,2027,1,15739.710958283104
superior,NORDESTE,2027,2,16633.020176516686
superior,NORDESTE,2027,3,15880.315993077682
superior,NORDESTE,2027,4,16106.683738818
superior,NORDESTE,2027,5,15656.032840302612
superior,NORDESTE,2027,6,15982.277250068046
superior,NORDESTE,2027,7,15552.266398146341
superior,NORDESTE,2027,8,15961.08465995513
superior,NORDESTE,2027,9,17028.730798809884
superior,NORDESTE,2027,10,17182.460692776716
superior,NORDESTE,2027,11,18013.56580833864
superior,NORDESTE,2027,12,17652.4419479753
superior,NORDESTE,2028,1,16951.6687020709
superior,NORDESTE,2028,2,17913.76273010847
superior,NORDESTE,2028,3,17103.100324544666
superior,NORDESTE,2028,4,17346.898386706984
superior,NORDESTE,2028,5,16861.54736900591
superior,NORDESTE,2028,6,17212.912598323284
superior,NORDESTE,2028,7,16749.790910803607
superior,NORDESTE,2028,8,17190.088178771675
superior,NORDESTE,2028,9,18339.943070318244
superior,NORDESTE,2028,10,18505.510166120526
superior,NORDESTE,2028,11,19400.61037558072
superior,NORDESTE,2028,12,19011.6799779694
superior,SUDESTE,2025,1,46004.69543285164
superior,SUDESTE,2025,2,49913.98879659873
superior,SUDESTE,2025,3,48309.93572404408
superior,SUDESTE,2025,4,48439.986436891755
superior,SUDESTE,2025,5,45508.992585686734
superior,SUDESTE,2025,6,46237.69688840905
superior,SUDESTE,2025,7,44909.72215062311
superior,SUDESTE,2025,8,46407.800922021655
superior,SUDESTE,2025,9,49409.2994740746
